timestamp,run_date,script_name,run_id,level,phase,component,function,line_no,event_type,message,exception_type,exception_message,traceback,context_json
2026-03-11T20:47:59.873,20260311,MSPBNA_CR_Normalized,d368b4c60168,INFO,startup,,,,CONFIG,Pipeline started: MSPBNA_CR_Normalized,,,,"{""run_id"": ""d368b4c60168"", ""run_date"": ""20260311"", ""log_file"": ""logs\\MSPBNA_CR_Normalized_20260311_log.csv"", ""python_version"": ""3.12.3 | packaged by conda-forge | (main, Apr 15 2024, 18:20:11) [MSC v.1938 64 bit (AMD64)]""}"
2026-03-11T20:47:59.875,20260311,MSPBNA_CR_Normalized,d368b4c60168,INFO,,console_capture,,,STDOUT,"2026-03-11 20:47:59,874 - __main__ - INFO - Logging initialized. CSV log: logs\MSPBNA_CR_Normalized_20260311_log.csv",,,,
2026-03-11T20:47:59.877,20260311,MSPBNA_CR_Normalized,d368b4c60168,INFO,,console_capture,,,STDOUT,"2026-03-11 20:47:59,876 - __main__ - INFO - Loaded configuration from C:\Users\jmsph\Documents\Repo-Github\Work\CR_Refactored\CR_PEERS_JP\.env",,,,
2026-03-11T20:47:59.877,20260311,MSPBNA_CR_Normalized,d368b4c60168,INFO,,console_capture,,,STDOUT,"2026-03-11 20:47:59,877 - __main__ - INFO - Configuration loaded: Subject CERT=34221, 7 unique peers from 4 groups.",,,,
2026-03-11T20:47:59.885,20260311,MSPBNA_CR_Normalized,d368b4c60168,INFO,,console_capture,,,STDOUT,"2026-03-11 20:47:59,885 - master_data_dictionary - INFO - Loading MDRM from cache (9 days old).",,,,
2026-03-11T20:48:22.458,20260311,MSPBNA_CR_Normalized,d368b4c60168,INFO,,console_capture,,,STDOUT,"2026-03-11 20:48:22,458 - master_data_dictionary - INFO - MDRM index built with 122944 entries.",,,,
2026-03-11T20:48:22.459,20260311,MSPBNA_CR_Normalized,d368b4c60168,INFO,,console_capture,,,STDOUT,"2026-03-11 20:48:22,459 - master_data_dictionary - INFO - Loading FDIC schema from cache (9 days old).",,,,
2026-03-11T20:48:24.656,20260311,MSPBNA_CR_Normalized,d368b4c60168,INFO,,console_capture,,,STDOUT,"2026-03-11 20:48:24,656 - root - INFO - Audit trail built: 342 Used, 802 Schedule Reference.",,,,
2026-03-11T20:48:26.469,20260311,MSPBNA_CR_Normalized,d368b4c60168,INFO,,console_capture,,,STDOUT,"2026-03-11 20:48:26,469 - root - INFO - Starting dashboard generation...",,,,
2026-03-11T20:48:26.469,20260311,MSPBNA_CR_Normalized,d368b4c60168,INFO,startup,run,,,CONFIG,Dashboard generation started,,,,"{""subject_cert"": 34221, ""peer_certs"": [32992, 33124, 7213, 628, 3510, 3511, 57565]}"
